"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","positive regulation of signal transduction","GO:0009967","0.000008874192341697962","5.051871162498797","1715","362","69","17847","PTPN1,SOCS1,VAPA,SOCS3,GADD45A,RAPGEF2,NDFIP1,PSME3,PELO,BCL2L11,NOTCH1,RHEB,MYDGF,P2RX7,IGF1,CSF1,SEMA7A,RAP1B,IL23A,SDCBP,DUSP6,CSF2,MTDH,CITED2,FYN,CRK,CCR1,SLAMF1,ICOS,LYN,CCR2,MAOA,IFNG,ACVR1B,DUSP5,TNF,ARMC9,TNFSF11,NACC2,ITGB1,CD226,TLR4,TNFSF14,IL1A,CCL4L2,TMEM33,DLG5,CCL3L3,IL3,IL2,FLT1,SHB,ZBED2,CTNNA1,IL1RN,CHSY1,CD40LG,TBL1X,XCL2,RNF165,GZMB,TGFBR3,SLA,CCL4,DSTYK,CCL3,HBEGF,IL10,IGF2"
"GO:BP","positive regulation of leukocyte activation","GO:0002696","0.000009928321196429712","5.003124181188961","388","362","27","17847","SOCS1,RUNX1,IGF1,IL23A,FYN,HLX,ICOS,LYN,CBFB,CCR2,IFNG,TNFSF11,CD226,TLR4,TNFSF14,IL2,IL2RA,IL1RL1,CEBPA,CD40LG,PDCD1,IGHV1-3,CTLA4,CCL3,CLECL1,IL10,IGF2"
"GO:BP","positive regulation of response to stimulus","GO:0048584","0.000009928321196429712","5.003124181188961","2514","362","90","17847","PTPN1,IL17D,SOCS1,VAPA,SOCS3,GADD45A,RAPGEF2,NDFIP1,PSME3,PELO,RUNX1,PPP1R15A,BCL2L11,NOTCH1,RHEB,MYDGF,P2RX7,IGF1,CSF1,SEMA7A,RAP1B,IL23A,SDCBP,RGCC,DUSP6,CSF2,MTDH,CITED2,FYN,CRK,CCR1,CEACAM1,SLAMF1,HLX,CXCL8,ICOS,LYN,CBFB,CCR2,MAOA,IFNG,ACVR1B,DUSP5,RPS6KA5,TNF,ARMC9,TNFSF11,NACC2,LTA,ITGB1,CEBPB,CD226,LGALS3,POLR3C,TLR4,TNFSF14,IL1A,CCL4L2,ITGA2,TMEM33,DLG5,CCL3L3,IL3,IL2,FLT1,IL1RL1,SHB,CEBPA,EYA3,ZBED2,CTNNA1,GRAMD4,IL1RN,CHSY1,CD40LG,TBL1X,XCL2,RNF165,FBXW11,GZMB,IGHV1-3,TGFBR3,SLA,CTLA4,CCL4,DSTYK,CCL3,HBEGF,IL10,IGF2"
"GO:BP","cell migration","GO:0016477","0.000010459235502597386","4.980500058216083","1597","362","65","17847","ARF4,FUT8,SBDS,MPP1,RAPGEF2,ARPC5L,STRAP,RAB1A,NOTCH1,GCNT1,HSD3B7,LAMB3,PSTPIP2,IGF1,CSF1,SEMA7A,IL23A,SDCBP,CTTN,FAM83H,RGCC,SRGAP2B,CITED2,FYN,CRK,CCR1,CEACAM1,PLAU,MBOAT7,INSM1,SRGAP2,CXCL8,LYN,CCR2,ARSB,ARF6,IFNG,ACVR1B,TNF,ALKBH1,TNFSF11,AGO2,ITGB1,LGALS3,TNFSF14,IL1A,CCL4L2,AVL9,ITGA2,DLG5,CCL3L3,FLT1,LMO4,IL1RN,XCL2,HRH1,SGPL1,RHOB,ITGB5,TGFBR3,TNS3,CCL4,CCL3,HBEGF,IL10"
"GO:BP","regulation of leukocyte activation","GO:0002694","0.000010459235502597386","4.980500058216083","586","362","34","17847","SOCS1,RUNX1,SAMSN1,IGF1,IL23A,TNFRSF1B,FYN,CEACAM1,HLX,ICOS,LYN,CBFB,CCR2,IFNG,TNFSF11,CEBPB,CD226,LGALS3,TLR4,TNFSF14,DLG5,IL2,IL2RA,PRDM1,IL1RL1,CEBPA,CD40LG,PDCD1,IGHV1-3,CTLA4,CCL3,CLECL1,IL10,IGF2"
"GO:BP","inflammatory response","GO:0006954","0.000010459235502597386","4.980500058216083","765","362","40","17847","IL17D,SOCS3,NOTCH1,P2RX7,IL22,IGF1,CSF1,SEMA7A,IL23A,NAMPT,TNFRSF1B,CCR1,CXCL8,LYN,CCR2,IFNG,RPS6KA5,NFX1,TNF,TNFSF11,LTA,CEBPB,TLR4,IL1A,CCL4L2,ITGA2,CDO1,CCL3L3,IL2,IL2RA,IL1RL1,CEBPA,IL1RAP,IL1RN,CD40LG,XCL2,HRH1,CCL4,CCL3,IL10"
"GO:BP","positive regulation of receptor signaling pathway via JAK-STAT","GO:0046427","0.000010459235502597386","4.980500058216083","91","362","13","17847","SOCS1,SOCS3,NOTCH1,IGF1,IL23A,CSF2,FYN,LYN,IFNG,TNF,IL3,IL2,IL10"
"GO:BP","mononuclear cell migration","GO:0071674","0.000010459235502597386","4.980500058216083","90","362","13","17847","CSF1,CCR1,LYN,CCR2,TNF,TNFSF11,LGALS3,CCL4L2,CCL3L3,FLT1,XCL2,CCL4,CCL3"
"GO:BP","immune system process","GO:0002376","0.000010459235502597386","4.980500058216083","3214","362","107","17847","CYSLTR2,PTPN1,SLC27A2,IL17D,AEN,SBDS,SOCS1,GLRX5,ATP11A,VAPA,MPP1,SOCS3,PSME3,RAB7A,RUNX1,BCL2L11,NOTCH1,SAMSN1,GCNT1,P2RX7,HSD3B7,IGF1,CSF1,SEMA7A,SEC61A1,RAP1B,IL23A,GZMA,SDCBP,RGCC,CSF2,NAMPT,TNFRSF1B,CITED2,FYN,CRK,CCR1,CEACAM1,CD109,PLAU,H3F3B,SLAMF1,DCTN6,HLX,CXCL8,ICOS,LYN,CBFB,CCR2,ARSB,IFNG,ACVR1B,NFIL3,RPS6KA5,PDE12,RAB27A,TNF,TNFSF11,RILP,LTA,ITGB1,KIF3B,LAIR2,CEBPB,CD226,LGALS3,POLR3C,TLR4,POLR3A,TNFSF14,MYO1E,IL1A,CCL4L2,ITGA2,IGF2R,DLG5,CCL3L3,IL3,IL2,IL2RA,PRDM1,FLT1,IL31,IL1RL1,CEBPA,IL1RAP,PICALM,OTUD7B,GRAMD4,LMO4,IL1RN,CD40LG,XCL2,HRH1,FBXW11,SGPL1,GZMB,ITGB5,PDCD1,IGHV1-3,TGFBR3,CTLA4,CCL4,CCL3,CLECL1,IL10,IGF2"
"GO:BP","regulation of signal transduction","GO:0009966","0.000010459235502597386","4.980500058216083","3209","362","107","17847","PTPN1,SOCS1,ARHGAP17,VAPA,PPP2CB,SOCS3,GADD45A,RAPGEF2,NDFIP1,PSME3,SNX5,PELO,RAB7A,STRAP,RUNX1,PPP1R15A,BCL2L11,NOTCH1,RHEB,MYDGF,SIAH2,P2RX7,UGCG,IGF1,TAF13,CSF1,SEMA7A,RAP1B,IL23A,SDCBP,ERRFI1,CTTN,OCRL,DUSP6,CSF2,MTDH,CITED2,FYN,FXN,CRK,CCR1,CEACAM1,CD109,PLAU,SRGAP2,SLAMF1,CXCL8,ICOS,LYN,CBFB,HEG1,CCR2,ARF6,MAOA,IFNG,ACVR1B,DUSP5,CSNK2A2,TNF,ARMC9,TNFSF11,NACC2,ITGB1,CD226,LGALS3,TLR4,PTPRE,LRPAP1,TNFSF14,IL1A,RCAN1,CCL4L2,TMEM33,CRY1,DLG5,CCL3L3,IL3,IL2,ARHGAP21,FLT1,TTC5,SHB,EYA3,ZBED2,CTNNA1,OTUD7B,GRAMD4,IL1RN,CHSY1,CD40LG,TBL1X,XCL2,RNF165,FBXW11,GZMB,RHOB,FAM129B,PTCH1,TGFBR3,SLA,CCL4,DSTYK,CCL3,HBEGF,IL10,SPRY4,IGF2"
"GO:BP","cellular response to organic substance","GO:0071310","0.000012038738284760906","4.919419026755871","2788","362","96","17847","PTPN1,FAM83G,FUT8,SOCS1,SOCS3,RAPGEF2,PSME3,PELO,STRAP,HSPA13,RUNX1,PPP1R15A,BCL2L11,NOTCH1,KIF1B,MYDGF,TGFBRAP1,P2RX7,IL22,UGCG,IGF1,CSF1,MAPK6,RAP1B,IL23A,SDCBP,ERRFI1,CSF2,NAMPT,MTDH,TNFRSF1B,CITED2,FYN,CRK,CCR1,CEACAM1,CD109,NR2F6,CXCL8,LYN,CBFB,CREB3L2,CCR2,ARF6,MAOA,IFNG,ACVR1B,NFIL3,RPS6KA5,PDE12,ATP6V1B2,TNF,TNFSF11,LTA,ITGB1,CEBPB,TBL2,TLR4,TMEM38A,ATP1A1,PTPRE,FGFRL1,TNFSF14,IL1A,CCL4L2,KLF9,ITGA2,TMEM33,CRY1,CCL3L3,IL3,IL2,IL2RA,FLT1,IL31,IL1RL1,CEBPA,IL1RAP,CTNNA1,IL1RN,CD40LG,XCL2,RNF165,HRH1,FBXW11,NCOA2,ITGB5,FAM129B,PTCH1,TGFBR3,CCL4,DSTYK,CCL3,IL10,SPRY4,IGF2"
"GO:BP","positive regulation of developmental process","GO:0051094","0.000012038738284760906","4.919419026755871","1432","362","60","17847","SOCS1,SOCS3,RAPGEF2,RUNX1,NOTCH1,RHEB,MYDGF,P2RX7,CCDC71L,IGF1,SPEN,CSF1,SEMA7A,MAPK6,IL23A,SDCBP,CTTN,RGCC,CSF2,MTDH,TNFRSF1B,CITED2,FYN,CRK,CCR1,CEACAM1,INSM1,HLX,CXCL8,LYN,CBFB,CREB3L2,CCR2,ARSB,IFNG,ACVR1B,TNF,TNFSF11,LTA,AGO2,ITGB1,CEBPB,TNFSF14,IL1A,DLG5,MIEF1,IL2,IL2RA,RNF157,FLT1,CEBPA,IL1RAP,CTNNA1,RHOB,FAM129B,PTCH1,TGFBR3,CCL3,IL10,IGF2"
"GO:BP","positive regulation of receptor signaling pathway via STAT","GO:1904894","0.000012038738284760906","4.919419026755871","94","362","13","17847","SOCS1,SOCS3,NOTCH1,IGF1,IL23A,CSF2,FYN,LYN,IFNG,TNF,IL3,IL2,IL10"
"GO:BP","positive regulation of cell activation","GO:0050867","0.000012868138714736515","4.890484266178529","403","362","27","17847","SOCS1,RUNX1,IGF1,IL23A,FYN,HLX,ICOS,LYN,CBFB,CCR2,IFNG,TNFSF11,CD226,TLR4,TNFSF14,IL2,IL2RA,IL1RL1,CEBPA,CD40LG,PDCD1,IGHV1-3,CTLA4,CCL3,CLECL1,IL10,IGF2"
"GO:BP","monocyte chemotaxis","GO:0002548","0.00001399014485735845","4.854177788694324","65","362","11","17847","CCR1,LYN,CCR2,TNFSF11,LGALS3,CCL4L2,CCL3L3,FLT1,XCL2,CCL4,CCL3"
"GO:BP","regulation of cell activation","GO:0050865","0.000014364056945104006","4.842722881818353","630","362","35","17847","SOCS1,RUNX1,SAMSN1,IGF1,IL23A,TNFRSF1B,FYN,CEACAM1,HLX,ICOS,LYN,CBFB,CCR2,IFNG,TNFSF11,CEBPB,CD226,LGALS3,TLR4,TNFSF14,DLG5,IL2,IL2RA,PRDM1,IL1RL1,CEBPA,LMO4,CD40LG,PDCD1,IGHV1-3,CTLA4,CCL3,CLECL1,IL10,IGF2"
"GO:BP","positive regulation of biological process","GO:0048518","0.00001692550031998983","4.771458484651726","6290","362","176","17847","ARF4,PTPN1,CCNT1,IL17D,SOCS1,VAPA,PERP,SEC16A,RYBP,SOCS3,GADD45A,RAPGEF2,NDFIP1,PSME3,SNX5,ARPC5L,PELO,RAB7A,MAPRE3,RAB1A,RUNX1,IFT57,PPP1R15A,SUPV3L1,BCL2L11,ACSL4,NOTCH1,KIF1B,RHEB,MYDGF,P2RX7,CCDC71L,NOP10,IGF1,SPEN,CSF1,SEMA7A,MAPK6,RAP1B,IL23A,NUFIP1,SRA1,GZMA,SETD7,SDCBP,CTTN,FAM83H,GNL3L,RGCC,DUSP6,CSF2,RASL11A,NAMPT,ANKLE2,MTDH,TNFRSF1B,CITED2,FYN,FXN,CRK,CCR1,CEACAM1,PLAU,PLEKHN1,INSM1,TMED2,H3F3B,SLAMF1,HLX,RAB5A,CXCL8,ICOS,LYN,CBFB,GALR2,CREB3L2,HEG1,CCR2,ELOVL6,ARSB,TESK1,ARF6,MAOA,IFNG,ACVR1B,NFIL3,DUSP5,RPS6KA5,PDE12,CSNK2A2,RAB27A,TNF,ARMC9,TNFSF11,NACC2,TFEC,RILP,LTA,AGO2,CDC42EP3,ITGB1,KIF3B,CEBPB,CD226,LGALS3,POLR3C,TLR4,NCS1,ATP1A1,CITED4,POLR3A,LRPAP1,TNFSF14,SHC4,IL1A,CCL4L2,PHLDA1,ITGA2,TMEM33,FOSL2,CRY1,IGF2R,DLG5,CTIF,CCL3L3,MIEF1,IL3,PDP2,IL2,IL2RA,RNF157,PRDM1,FLT1,TTC5,IL1RL1,SHB,CEBPA,IL1RAP,EYA3,ZBED2,PRDM4,PICALM,CTNNA1,DCUN1D3,GRAMD4,LMO4,CD3EAP,IL1RN,CHSY1,CD40LG,TBL1X,XCL2,RNF165,HRH1,FBXW11,GZMB,NCOA2,RHOB,PDCD1,FAM129B,PTCH1,IGHV1-3,FOSL1,SNX9,TGFBR3,SLA,CTLA4,TNS3,CCL4,DSTYK,CCL3,CLECL1,HBEGF,IL10,MAF,IGF2"
"GO:BP","positive regulation of phosphorus metabolic process","GO:0010562","0.000017743121944975794","4.750969962622284","1147","362","51","17847","PTPN1,CCNT1,SOCS1,SOCS3,GADD45A,RAPGEF2,MAPRE3,PPP1R15A,NOTCH1,MYDGF,P2RX7,IGF1,CSF1,SEMA7A,RAP1B,IL23A,SDCBP,RGCC,DUSP6,CSF2,ANKLE2,FYN,CRK,CCR1,SLAMF1,LYN,IFNG,ACVR1B,DUSP5,RPS6KA5,TNF,TNFSF11,TLR4,IL1A,CCL4L2,ITGA2,CCL3L3,IL3,IL2,FLT1,LMO4,IL1RN,CD40LG,XCL2,HRH1,SNX9,CCL4,DSTYK,CCL3,HBEGF,IGF2"
"GO:BP","positive regulation of phosphate metabolic process","GO:0045937","0.000017743121944975794","4.750969962622284","1147","362","51","17847","PTPN1,CCNT1,SOCS1,SOCS3,GADD45A,RAPGEF2,MAPRE3,PPP1R15A,NOTCH1,MYDGF,P2RX7,IGF1,CSF1,SEMA7A,RAP1B,IL23A,SDCBP,RGCC,DUSP6,CSF2,ANKLE2,FYN,CRK,CCR1,SLAMF1,LYN,IFNG,ACVR1B,DUSP5,RPS6KA5,TNF,TNFSF11,TLR4,IL1A,CCL4L2,ITGA2,CCL3L3,IL3,IL2,FLT1,LMO4,IL1RN,CD40LG,XCL2,HRH1,SNX9,CCL4,DSTYK,CCL3,HBEGF,IGF2"
"GO:BP","T cell activation","GO:0042110","0.00001931089313860897","4.7141976394158736","470","362","29","17847","SOCS1,RUNX1,P2RX7,IGF1,IL23A,TNFRSF1B,FYN,CEACAM1,HLX,ICOS,LYN,CBFB,CCR2,IFNG,RAB27A,TNFSF11,CEBPB,LGALS3,TNFSF14,DLG5,IL2,IL2RA,PRDM1,CD40LG,PDCD1,CTLA4,CLECL1,IL10,IGF2"
"GO:BP","apoptotic process","GO:0006915","0.00001931089313860897","4.7141976394158736","2013","362","75","17847","ARF4,PTPN1,AEN,PERP,PPP2CB,CLPTM1L,RYBP,SOCS3,GADD45A,RAPGEF2,PSME3,IFT57,PPP1R15A,SUPV3L1,BCL2L11,NOTCH1,KIF1B,MYDGF,SIAH2,P2RX7,ZDHHC16,IGF1,SRA1,GZMA,SRGN,CTTN,RGCC,DUSP6,CSF2,ANKLE2,MTDH,TNFRSF1B,CITED2,FYN,FXN,PLEKHN1,LYN,ARF6,IFNG,ACVR1B,CSNK2A2,TNF,ALKBH1,NACC2,LTA,ITGB1,CEBPB,LGALS3,TLR4,TNFSF14,SHC4,IL1A,PHLDA1,IGF2R,DLG5,IL2,IL2RA,RNF157,SHB,EI24,EYA3,CTNNA1,DCUN1D3,GRAMD4,CD40LG,SGPL1,GZMB,RHOB,PDCD1,FAM129B,FOSL1,CTLA4,DSTYK,CCL3,IL10"
"GO:BP","regulation of lymphocyte activation","GO:0051249","0.000019834997043795683","4.7025678599169956","499","362","30","17847","SOCS1,RUNX1,SAMSN1,IGF1,IL23A,TNFRSF1B,FYN,CEACAM1,HLX,ICOS,LYN,CBFB,CCR2,IFNG,TNFSF11,CEBPB,LGALS3,TLR4,TNFSF14,DLG5,IL2,IL2RA,PRDM1,CD40LG,PDCD1,IGHV1-3,CTLA4,CLECL1,IL10,IGF2"
"GO:BP","locomotion","GO:0040011","0.00002117169055457826","4.6742444622823776","1983","362","74","17847","ARF4,FUT8,SBDS,VAPA,MPP1,RAPGEF2,ARPC5L,RAB7A,STRAP,RAB1A,NOTCH1,GCNT1,HSD3B7,LAMB3,PSTPIP2,IGF1,CSF1,SEMA7A,IL23A,SDCBP,CTTN,FAM83H,RGCC,SRGAP2B,CITED2,FYN,CRK,CCR1,CEACAM1,PLAU,MBOAT7,INSM1,SRGAP2,CXCL8,LYN,CCR2,ARSB,ARF6,IFNG,ACVR1B,RPS6KA5,TNF,ALKBH1,TNFSF11,AGO2,ITGB1,LGALS3,TNFSF14,IL1A,RCAN1,CCL4L2,AVL9,ITGA2,DLG5,CCL3L3,FLT1,CTNNA1,LMO4,IL1RN,XCL2,RNF165,HRH1,SGPL1,RHOB,ITGB5,FAM129B,PTCH1,FOSL1,TGFBR3,TNS3,CCL4,CCL3,HBEGF,IL10"
"GO:BP","positive regulation of cell communication","GO:0010647","0.00002248683763439773","4.6480716159071","1875","362","71","17847","PTPN1,SOCS1,VAPA,SOCS3,GADD45A,RAPGEF2,NDFIP1,PSME3,PELO,BCL2L11,ACSL4,NOTCH1,RHEB,MYDGF,P2RX7,IGF1,CSF1,SEMA7A,RAP1B,IL23A,SDCBP,DUSP6,CSF2,MTDH,CITED2,FYN,CRK,CCR1,SLAMF1,ICOS,LYN,CCR2,MAOA,IFNG,ACVR1B,DUSP5,TNF,ARMC9,TNFSF11,NACC2,ITGB1,CD226,TLR4,TNFSF14,IL1A,CCL4L2,ITGA2,TMEM33,DLG5,CCL3L3,IL3,IL2,FLT1,SHB,ZBED2,CTNNA1,IL1RN,CHSY1,CD40LG,TBL1X,XCL2,RNF165,GZMB,TGFBR3,SLA,CCL4,DSTYK,CCL3,HBEGF,IL10,IGF2"
"GO:BP","chemotaxis","GO:0006935","0.000023048580629192364","4.6373558140439375","653","362","35","17847","SBDS,MPP1,NOTCH1,HSD3B7,CSF1,SEMA7A,IL23A,FYN,CRK,CCR1,PLAU,CXCL8,LYN,CCR2,RPS6KA5,ALKBH1,TNFSF11,LGALS3,TNFSF14,IL1A,CCL4L2,ITGA2,CCL3L3,FLT1,IL1RN,XCL2,RNF165,HRH1,FAM129B,PTCH1,FOSL1,CCL4,CCL3,HBEGF,IL10"
"GO:BP","regulation of signaling","GO:0023051","0.000023048580629192364","4.6373558140439375","3637","362","115","17847","PTPN1,SOCS1,ARHGAP17,VAPA,PPP2CB,SOCS3,GADD45A,RAPGEF2,NDFIP1,PSME3,SNX5,PELO,RAB7A,STRAP,RUNX1,PPP1R15A,BCL2L11,ACSL4,NOTCH1,RHEB,MYDGF,SIAH2,P2RX7,UGCG,IGF1,TAF13,CSF1,SEMA7A,RAP1B,IL23A,SDCBP,ERRFI1,CTTN,OCRL,DUSP6,CSF2,MTDH,CITED2,FYN,FXN,CRK,CCR1,CEACAM1,CD109,PLAU,SRGAP2,SLAMF1,RAB5A,CXCL8,ICOS,LYN,CBFB,HEG1,CCR2,ARF6,MAOA,IFNG,ACVR1B,DUSP5,GRID2IP,CSNK2A2,TNF,ARMC9,TNFSF11,NACC2,ITGB1,CD226,LGALS3,RAB11FIP1,TLR4,NCS1,ATP1A1,PTPRE,LRPAP1,TNFSF14,IL1A,RCAN1,CCL4L2,ITGA2,TMEM33,CRY1,DLG5,CCL3L3,IL3,IL2,ARHGAP21,FLT1,TTC5,SHB,EYA3,ZBED2,CTNNA1,OTUD7B,GRAMD4,IL1RN,CHSY1,CD40LG,TBL1X,XCL2,RNF165,HRH1,FBXW11,GZMB,RHOB,FAM129B,PTCH1,TGFBR3,SLA,CCL4,DSTYK,CCL3,HBEGF,IL10,SPRY4,IGF2"
"GO:BP","positive regulation of signaling","GO:0023056","0.000023048580629192364","4.6373558140439375","1882","362","71","17847","PTPN1,SOCS1,VAPA,SOCS3,GADD45A,RAPGEF2,NDFIP1,PSME3,PELO,BCL2L11,ACSL4,NOTCH1,RHEB,MYDGF,P2RX7,IGF1,CSF1,SEMA7A,RAP1B,IL23A,SDCBP,DUSP6,CSF2,MTDH,CITED2,FYN,CRK,CCR1,SLAMF1,ICOS,LYN,CCR2,MAOA,IFNG,ACVR1B,DUSP5,TNF,ARMC9,TNFSF11,NACC2,ITGB1,CD226,TLR4,TNFSF14,IL1A,CCL4L2,ITGA2,TMEM33,DLG5,CCL3L3,IL3,IL2,FLT1,SHB,ZBED2,CTNNA1,IL1RN,CHSY1,CD40LG,TBL1X,XCL2,RNF165,GZMB,TGFBR3,SLA,CCL4,DSTYK,CCL3,HBEGF,IL10,IGF2"
